feature,base_avg,perm_avg,delta_avg,base_t0,perm_t0,delta_t0,base_t1,perm_t1,delta_t1
spread_2,0.1270807969947821,0.09817106719077094,0.028909729804011172,0.18923027754444968,0.13155661998152646,0.057673657562923225,0.06493131644511455,0.06478551440001543,0.00014580204509911932
trade_intensity,0.1270807969947821,0.10360877726134518,0.023472019733436933,0.18923027754444968,0.157564718561996,0.031665558982453684,0.06493131644511455,0.04965283596069435,0.015278480484420195
spread_0,0.1270807969947821,0.11230956848420531,0.0147712285105768,0.18923027754444968,0.17065753270184963,0.018572744842600047,0.06493131644511455,0.05396160426656099,0.010969712178553553
ask_pressure,0.1270807969947821,0.11581964897488496,0.011261148019897152,0.18923027754444968,0.17315443273647718,0.0160758448079725,0.06493131644511455,0.05848486521329274,0.006446451231821804
spread_5,0.1270807969947821,0.11896101178095773,0.00811978521382438,0.18923027754444968,0.1868745069886954,0.002355770555754283,0.06493131644511455,0.05104751657322007,0.013883799871894476
spread_4,0.1270807969947821,0.12001305591813746,0.007067741076644651,0.18923027754444968,0.18841590951227294,0.0008143680321767433,0.06493131644511455,0.051610202324002,0.013321114121112546
spread_3,0.1270807969947821,0.1227723438362226,0.0043084531585595165,0.18923027754444968,0.183673151783086,0.00555712576136369,0.06493131644511455,0.061871535889359196,0.0030597805557553495
bid_pressure,0.1270807969947821,0.1239067288984429,0.0031740680963392165,0.18923027754444968,0.18491395877798122,0.004316318766468458,0.06493131644511455,0.06289949901890457,0.0020318174262099753
spread_1,0.1270807969947821,0.12452031994739582,0.0025604770473862948,0.18923027754444968,0.18611375673610892,0.003116520808340767,0.06493131644511455,0.06292688315868272,0.0020044332864318226
pressure_imbalance,0.1270807969947821,0.12707940381934374,1.3931754383744721e-06,0.18923027754444968,0.18923028993604035,-1.239159067023543e-08,0.06493131644511455,0.0649285177026471,2.7987424674469352e-06
