feature_a,feature_b,interaction,pearson_t1,abs_corr
v8,p0,v8*p0,0.040352380367780376,0.040352380367780376
spread_0,p0,spread_0*p0,0.03764322200741963,0.03764322200741963
spread_0,v2,spread_0*v2,-0.036948857124318564,0.036948857124318564
v8,v0,v8*v0,0.03183251168800142,0.03183251168800142
v0,p0,v0*p0,-0.03107323418963435,0.03107323418963435
dv3,p0,dv3*p0,0.028857014604693077,0.028857014604693077
v2,dv2,v2*dv2,-0.028262387819563643,0.028262387819563643
v2,v1,v2*v1,-0.027809499913785514,0.027809499913785514
spread_0,v1,spread_0*v1,0.027390515174129035,0.027390515174129035
trade_intensity,v2,trade_intensity*v2,-0.026863784152762627,0.026863784152762627
dv2,p0,dv2*p0,0.026314681368897218,0.026314681368897218
trade_intensity,p0,trade_intensity*p0,0.025058657707641395,0.025058657707641395
v8,dv3,v8*dv3,-0.024586168590347846,0.024586168590347846
v6,p0,v6*p0,0.024361173585043343,0.024361173585043343
dv3,v2,dv3*v2,-0.02295174985908867,0.02295174985908867
v6,v2,v6*v2,-0.022419637586523468,0.022419637586523468
p0,v1,p0*v1,0.022337313113672985,0.022337313113672985
dv3,v0,dv3*v0,0.02158714923871114,0.02158714923871114
v8,v2,v8*v2,-0.01841697206755548,0.01841697206755548
v2,p0,v2*p0,-0.017023837397071015,0.017023837397071015
spread_0,v8,spread_0*v8,-0.016744683692959682,0.016744683692959682
trade_intensity,v1,trade_intensity*v1,0.016350815998579345,0.016350815998579345
v8,dv2,v8*dv2,-0.016036224523786332,0.016036224523786332
dv2,v1,dv2*v1,0.015146606457717838,0.015146606457717838
v0,v2,v0*v2,0.01513542943106838,0.01513542943106838
v6,v1,v6*v1,0.01460939320194097,0.01460939320194097
trade_intensity,v8,trade_intensity*v8,-0.014524028096356535,0.014524028096356535
spread_0,v0,spread_0*v0,0.014361593599742584,0.014361593599742584
spread_0,v6,spread_0*v6,0.013427624188394808,0.013427624188394808
v0,dv2,v0*dv2,0.012854838445070542,0.012854838445070542
trade_intensity,v0,trade_intensity*v0,0.012631298305097113,0.012631298305097113
v0,v6,v0*v6,0.01112674062634828,0.01112674062634828
v6,dv2,v6*dv2,0.010884348524017784,0.010884348524017784
spread_0,dv2,spread_0*dv2,0.01068000131083501,0.01068000131083501
spread_0,trade_intensity,spread_0*trade_intensity,0.010476901741053545,0.010476901741053545
v8,v6,v8*v6,-0.010131532010731848,0.010131532010731848
trade_intensity,v6,trade_intensity*v6,0.009383934510145228,0.009383934510145228
dv3,dv2,dv3*dv2,-0.009194408065197385,0.009194408065197385
dv3,v1,dv3*v1,0.008841410200754192,0.008841410200754192
v0,v1,v0*v1,-0.0053860115398723365,0.0053860115398723365
spread_0,dv3,spread_0*dv3,-0.004132428174142588,0.004132428174142588
trade_intensity,dv2,trade_intensity*dv2,-0.002126814130980065,0.002126814130980065
trade_intensity,dv3,trade_intensity*dv3,-0.0020358711393172004,0.0020358711393172004
dv3,v6,dv3*v6,0.0016696886673254756,0.0016696886673254756
v8,v1,v8*v1,0.0006499813510587513,0.0006499813510587513
