feature,mi_t1
p7,0.2510051375498401
p4,0.2497116796314156
p8,0.24842719636728727
p5,0.24767301384011375
p10,0.24728555437582855
p2,0.24638047999536994
p3,0.2444133435076079
p9,0.24384565302345607
p0,0.24323222828374735
p11,0.24264826041214782
dv1,0.23945815112059687
p6,0.23877829391801964
dv0,0.2383566275579554
dv2,0.23717464109408581
dv3,0.23501598398569357
trade_intensity,0.23272358622555522
spread_5,0.1933295277063536
spread_1,0.19104689229293204
spread_4,0.19074828275443778
spread_0,0.18849690425286703
spread_3,0.18789402522536136
spread_2,0.1865823729671936
p1,0.17962494167507614
dp2,0.12557073607657276
dp0,0.12237380576064272
dp3,0.12218887945528145
dp1,0.1195571461369207
pressure_imbalance,0.040214473947271845
bid_pressure,0.028626944083729455
v2,0.02779685249409969
v6,0.0270215762079129
v0,0.026242301583880412
v1,0.026221059859214968
v8,0.026111981334294043
v3,0.026040328527116685
v5,0.02569924317058181
v9,0.024888905801323524
v10,0.02453256258998593
v11,0.024456123755717485
ask_pressure,0.024305180208180843
v4,0.02408190765450069
v7,0.02401175208807249
